#Year,Title,Genre,Director,Cast,Level,
2014,Mr Joe B. Carvalho,Comedy,Samir Tewari,"Arshad Warsi, Soha Ali Khan, Javed Jaffrey, Vijay Raaz [4]",0,
2014,Sholay 3D,Action/Adventure,Ramesh Sippy,"Dharmendra, Amitabh Bachchan, Hema Malini, Jaya Bhaduri, Sanjeev Kumar, Amjad Khan, A.K. Hangal[5]",2,
2014,Dedh Ishqiya,Black Comedy/Thriller,Abhishek Chaubey,"Naseeruddin Shah, Arshad Warsi, Madhuri Dixit, Huma Qureshi[6]",1,
2014,Yaariyan,Romance,Divya Khosla Kumar,"Himansh Kohli, Shreyas Porus Pardiwalla, Dev Sharma, Nicole Faria, Rakul Preet Singh[7]",1,
2014,Karle Pyaar Karle,Romance,Rajesh Pandey,"Shiv Darshan, Hasleen Kaur[8]",1,
2014,Miss Lovely,Drama,Ashim Ahluwalia,"Nawazuddin Siddiqui, Niharika Singh[9]",0,
2014,Om-Dar-Ba-Dar,Experimental,Kamal Swaroop,"Aditya Lakhia, Manish Gupta, Anita Kanwar, Gopi Desai[10]",0,
2014,Paranthe Wali Gali,Romantic comedy,Sachin Gupta,"Anuj Saxena, Neha Pawar, Mohinder Gujral, Vijayant Kohli, Himanshu Thakkar, Yuvraj Haral[11]",0,
2014,Strings Of Passion,Drama,Sanghamitra Chaudhari,"Zeenat Aman, Indrani Haldar, Shubh Mukherjee, Rajesh Sharma[12]",2,
2014,Jai Ho,Action - comedy,Sohail Khan,"Salman Khan, Daisy Shah, Tabu, Sana Khan, Danny Denzongpa, Mohnish Behl, Vatsal Seth, Suniel Shetty, Genelia D'Souza[13]",1,
2014,One by Two,Romance/Comedy,Devika Bhagat,"Abhay Deol, Preeti Desai, Rati Agnihotri, Jayant Kripalani, Darshan Jariwala, Lilette Dubey, Anish Trivedi[14]",2,
2014,Babloo Happy Hai,Comedy,Nila Madhab Panda,"Sahil Anand, Erica Fernandes, Preet Kamal, Sumit Suri, Amol Parashar, Reyhna Malhotra, Parvin Dabas, Anu Choudhury, Pooja Tawde, Khusbhoo Purohit, Mika Singh |",2,
2014,Hasee Toh Phasee,Romance/Comedy,Vinil Mathew,"Sidharth Malhotra, Parineeti Chopra,[15] Adah Sharma",1,
